period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12_hrs_from_dta_to_admission,emergency_admissions_via_aande_type_1,emergency_admissions_via_aande_type_2,emergency_admissions_via_aande_other_aande_department,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11271,0,3705,1389,0,79,5037,0,14,564,0,0,885,298,3096,0,0,1832,12660,5601,55.8
2026-02-01,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4892,0,2263,0,0,0,2525,0,351,0,0,0,229,747,1713,0,0,1171,4892,2525,48.4
2026-02-01,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7807,127,6932,0,0,0,4956,19,143,0,0,0,516,591,2736,0,0,1682,7807,4956,36.5
2026-02-01,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11365,2426,5403,0,0,0,4797,84,87,0,0,0,50,14,871,42,36,340,11365,4797,57.8
2026-02-01,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7536,0,2572,340,0,131,4074,0,49,0,0,0,321,706,1527,0,0,259,7876,4074,48.3
2026-02-01,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9416,51,3936,0,0,116,4819,0,136,0,0,0,197,18,3314,7,70,1050,9416,4819,48.8
2026-02-01,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,5444,0,0,0,0,0,62,0,0,0,0,0,0,0,3,0,223,0,0,
2026-02-01,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7845,0,1890,0,0,471,2063,0,0,0,0,0,522,286,1729,0,4,302,7845,2063,73.7
2026-02-01,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5310,0,4073,14,0,0,2298,0,38,7,0,0,667,1,1533,0,0,36,5324,2305,56.7
2026-02-01,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,30640,298,2868,0,0,145,12820,0,40,0,0,2,2238,1923,9296,0,0,7490,30640,12820,58.2
2026-02-01,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4547,0,10252,0,0,0,2496,0,19,0,0,0,209,39,1530,0,430,2315,4547,2496,45.1
2026-02-01,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,14874,128,5785,112,0,85,5674,0,157,0,0,0,2006,610,3065,0,161,812,14986,5674,62.1
2026-02-01,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,3123,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,24026,1458,1562,1426,0,368,10461,34,187,509,0,16,894,946,7713,27,48,1597,25452,10970,56.9
2026-02-01,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2696,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2599,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,24273,2871,9991,3267,447,749,9641,99,290,1271,34,34,3528,83,5443,115,96,409,27540,10912,60.4
2026-02-01,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13434,0,3334,0,0,0,6069,0,0,0,0,0,997,454,3880,0,0,2371,13434,6069,54.8
2026-02-01,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,24311,0,7273,0,0,1,10563,0,269,0,0,0,2196,1184,7794,0,109,1073,24311,10563,56.6
2026-02-01,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,6356,0,7221,0,0,0,3413,0,263,0,0,0,227,467,2210,0,241,677,6356,3413,46.3
2026-02-01,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6151,0,1807,0,0,0,2827,0,0,0,0,0,720,131,1792,0,0,361,6151,2827,54.0
2026-02-01,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7474,0,4949,693,0,351,3776,0,126,378,0,0,607,0,2082,0,0,408,8167,4154,49.1
2026-02-01,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6239,0,9986,0,0,0,3619,0,513,0,0,0,663,529,2409,0,34,1154,6239,3619,42.0
2026-02-01,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12627,2267,13122,0,0,0,5281,375,155,0,0,0,564,628,3385,0,0,1762,12627,5281,58.2
2026-02-01,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8770,0,0,0,0,0,2958,0,0,0,0,0,903,54,1557,0,0,440,8770,2958,66.3
2026-02-01,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6796,0,5530,0,0,0,3794,0,38,0,0,0,558,523,1794,0,15,137,6796,3794,44.2
2026-02-01,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,7170,0,874,51,0,0,2577,0,0,0,0,0,428,546,1777,0,0,231,7221,2577,64.3
